path,label,aspect_ratio,log_width,log_height,is_square,is_standard_ai_size,has_gps,has_camera,has_shooting_params,metadata_removed,has_c2pa,c2pa_algorithmic_hint,c2pa_manifest_n,c2pa_agent_len,c2pa_generator_len,exif_field_count,software_str_len,has_exif_flag,has_xmp_flag,contradictions_n,ai_software_list_count,suspicious_features_n,metadata_keyword_hits,metadata_trace_len_k
data\raw\real\Photo-0051 (2).jpg,0,1.25,7.155396301896734,6.932447891572509,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.972
data\raw\real\photo_2025-03-12_11-43-48.jpg,0,1.0,6.46302945692067,6.46302945692067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.734
data\raw\real\photo_2025-12-01_19-19-01.jpg,0,1.3333333333333333,7.848153086199526,7.560601162768557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.813
data\raw\real\photo_2025-12-01_19-19-02.jpg,0,0.75,7.560601162768557,7.848153086199526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.813
data\raw\real\photo_2025-12-03_21-49-33.jpg,0,1.5005861664712778,7.848153086199526,7.442492722794441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.812
data\raw\real\photo_2025-12-29_21-39-07.jpg,0,0.75078125,6.8690144506657065,7.155396301896734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.833
data\raw\real\photo_2026-01-23_17-39-39.jpg,0,2.529274004683841,6.985641817639208,6.059123195581797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.833
data\raw\real\photo_2026-02-15_17-26-27.jpg,0,1.0272873194221508,7.848153086199526,7.821242083523558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.836
data\raw\real\photo_2026-02-26_22-02-14.jpg,0,0.5882352941176471,6.985641817639208,7.515889085215125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.836
data\raw\real\photo_2026-03-05_12-58-31.jpg,0,1.3333333333333333,7.155396301896734,6.8679744089702925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.833
data\raw\real\planety.jpg,0,1.5355086372360844,6.68586094706836,6.257667587882639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.736
data\raw\real\SpaceX_Crew_Dragon.jpg,0,1.7777777777777777,8.253488028345904,7.6783263565068856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.575
data\raw\real\The_SpaceX_Factory.jpg,0,1.4180206794682422,7.560601162768557,7.2115567333138015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.948
data\raw\real\unnamed.jpg,0,1.6,7.155396301896734,6.68586094706836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.733
data\raw\ai\0c5a18e0db56b07d70e5c3f9ef48cd21.jpg,1,0.7777777777777778,6.799055862058796,7.050122520269059,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.853
data\raw\ai\194424b4e07eb62244f34eaa85a24013.jpg,1,0.7777777777777778,7.491645473605133,7.742835955430749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.813
data\raw\ai\2711fe79b8178251adfca1ddea62a9a6.jpg,1,0.6842105263157895,6.725033642166843,7.104144092987527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.716
data\raw\ai\2815ae8c9f246d404bf339db7ca8f0f0.jpg,1,0.7777777777777778,7.491645473605133,7.742835955430749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.719
data\raw\ai\39e368f796ecab72f62a40b29ea30885.jpg,1,0.5714285714285714,7.337587743538596,7.896924656268864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.813
data\raw\ai\3CTpO91WSYSdafQhBBwDXA.webp,1,1.0,6.932447891572509,6.932447891572509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.699
data\raw\ai\483eaccfa2ca8c471b8297f45e9db5a5.jpg,1,0.7777777777777778,6.799055862058796,7.050122520269059,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.853
data\raw\ai\4c69b20dc45d5dcfdb6d33ac74ae29e5.jpg,1,0.7777777777777778,6.799055862058796,7.050122520269059,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.853
data\raw\ai\5da8e2609f1dd2aa7cdff9d7b760a72e.jpg,1,0.7777777777777778,6.799055862058796,7.050122520269059,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.759
data\raw\ai\7cdc6320836c757107f4e3da7a01a0bd.jpg,1,1.75,7.20414929203594,6.645090969505644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.759
data\raw\ai\85fbe02c8f839390c121d2f5b171526d.jpg,1,0.7777777777777778,7.491645473605133,7.742835955430749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.813
data\raw\ai\969496b0-e41d-4799-92f7-69604a2746ee.png,1,0.6666666666666666,6.932447891572509,7.337587743538596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.585
data\raw\ai\e0b6888d00b1d4ae957ddb0a60e416f3.jpg,1,0.6842105263157895,7.417580402414544,7.796880342783522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.719
data\raw\ai\Gpcqa-2tRmaHIOUaWCe1vw.webp,1,0.6666666666666666,6.932447891572509,7.337587743538596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.657
data\raw\ai\hl4hEf44RxqmtIYrG3mFDg.webp,1,0.7,6.799055862058796,7.155396301896734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.653
data\raw\ai\image (2).jpeg,1,1.0,6.932447891572509,6.932447891572509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.761
data\raw\ai\image (3).jpeg,1,1.0,6.932447891572509,6.932447891572509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.761
data\raw\ai\iWcYzwgeS3eqOwBERwdGlg.webp,1,1.0,6.932447891572509,6.932447891572509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.699
data\raw\ai\Nu_D9vLpStORp2hA5Ra8DA.webp,1,0.7,6.799055862058796,7.155396301896734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.653
data\raw\ai\p_B5dK_qSGKS_CCSFmA0Ew.webp,1,1.4285714285714286,7.155396301896734,6.799055862058796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.654
data\raw\ai\ugBIJu7HSYmEdc6dbUXiSQ.webp,1,1.0,6.932447891572509,6.932447891572509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.699
data\raw\ai\VJjYKnZVRs2kItY_xhivzg.webp,1,0.7,6.799055862058796,7.155396301896734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.653
data\raw\ai\WluaE4LRSaOQVPrNiPm91A.webp,1,0.6666666666666666,6.932447891572509,7.337587743538596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.657
data\raw\ai\XdWg_IJvRRmUvgPIULonlw.webp,1,0.6666666666666666,6.932447891572509,7.337587743538596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.657
data\raw\ai\Колдунья на фоне бурного моря.png,1,0.6666666666666666,6.932447891572509,7.337587743538596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.585
